I1013 09:28:06.989655    2861 controller.go:92] starting flat network controller
I1013 09:28:06.990014    2861 reflector.go:218] Starting reflector *v1.Network (10m0s) from k8s.io/arktos-ext/pkg/generated/informers/externalversions/factory.go:128
I1013 09:28:06.990060    2861 reflector.go:293] ListAndWatch *v1.Network. filter bounds []. name k8s.io/arktos-ext/pkg/generated/informers/externalversions/factory.go:128. Watch page size 0. resync period 10m0s
E1013 09:28:06.991229    2861 reflector.go:222] k8s.io/arktos-ext/pkg/generated/informers/externalversions/factory.go:128: Failed to list *v1.Network: the server could not find the requested resource (get networks.arktos.futurewei.com)
I1013 09:28:08.275245    2861 reflector.go:293] ListAndWatch *v1.Network. filter bounds []. name k8s.io/arktos-ext/pkg/generated/informers/externalversions/factory.go:128. Watch page size 0. resync period 10m0s
E1013 09:28:08.276364    2861 reflector.go:222] k8s.io/arktos-ext/pkg/generated/informers/externalversions/factory.go:128: Failed to list *v1.Network: the server could not find the requested resource (get networks.arktos.futurewei.com)
I1013 09:28:11.381423    2861 reflector.go:293] ListAndWatch *v1.Network. filter bounds []. name k8s.io/arktos-ext/pkg/generated/informers/externalversions/factory.go:128. Watch page size 0. resync period 10m0s
I1013 09:28:24.198160    2861 event.go:278] Event(v1.ObjectReference{Kind:"Network", Namespace:"", Name:"default", UID:"f837ca95-a58d-4530-b1cc-0e8425e2a33f", APIVersion:"arktos.futurewei.com/v1", ResourceVersion:"355", FieldPath:"", Tenant:"system"}): type: 'Normal' reason: 'SuccessfulProvision' successfully provision network system/default
I1013 09:28:24.198200    2861 event.go:278] Event(v1.ObjectReference{Kind:"Network", Namespace:"", Name:"default", UID:"f837ca95-a58d-4530-b1cc-0e8425e2a33f", APIVersion:"arktos.futurewei.com/v1", ResourceVersion:"335", FieldPath:"", Tenant:"system"}): type: 'Normal' reason: 'SuccessfulProvision' successfully provision network system/default
I1013 09:38:11.387234    2861 event.go:278] Event(v1.ObjectReference{Kind:"Network", Namespace:"", Name:"default", UID:"f837ca95-a58d-4530-b1cc-0e8425e2a33f", APIVersion:"arktos.futurewei.com/v1", ResourceVersion:"355", FieldPath:"", Tenant:"system"}): type: 'Normal' reason: 'SuccessfulProvision' successfully provision network system/default
I1013 09:48:11.387529    2861 event.go:278] Event(v1.ObjectReference{Kind:"Network", Namespace:"", Name:"default", UID:"f837ca95-a58d-4530-b1cc-0e8425e2a33f", APIVersion:"arktos.futurewei.com/v1", ResourceVersion:"355", FieldPath:"", Tenant:"system"}): type: 'Normal' reason: 'SuccessfulProvision' successfully provision network system/default
I1013 09:58:11.387683    2861 event.go:278] Event(v1.ObjectReference{Kind:"Network", Namespace:"", Name:"default", UID:"f837ca95-a58d-4530-b1cc-0e8425e2a33f", APIVersion:"arktos.futurewei.com/v1", ResourceVersion:"355", FieldPath:"", Tenant:"system"}): type: 'Normal' reason: 'SuccessfulProvision' successfully provision network system/default
